onset	duration	trial_type	value	sample
586.508	0.0	Button8 pressed	3	146627
586.508	0.0	Button8 pressed	3	146627
586.6	0.0	Button8 released	4	146650
586.6	0.0	Button8 released	4	146650
586.616	0.0	Button7 pressed	1	146654
586.616	0.0	Button7 pressed	1	146654
586.74	0.0	Button8 pressed	3	146685
586.74	0.0	Button8 pressed	3	146685
586.772	0.0	Button7 released	2	146693
586.772	0.0	Button7 released	2	146693
586.848	0.0	Button7 pressed	1	146712
586.848	0.0	Button7 pressed	1	146712
586.88	0.0	Button8 released	4	146720
586.88	0.0	Button8 released	4	146720
586.924	0.0	Button7 released	2	146731
586.924	0.0	Button7 released	2	146731
