Subject,Acq,Dimension,TestVideo,TrainSize,TestSize,UpRate_Train,UpRate_Test,Accuracy,BalancedAccuracy,AUC
27,b,luminance,lum_007_3_b,3684,614,0.2668295331161781,0.38925081433224756,0.5993485342019544,0.5194979079497908,0.464557880055788
27,a,luminance,lum_002_3_a,3684,614,0.26411509229098806,0.40553745928338764,0.47068403908794787,0.47502338119601695,0.4677119436650713
27,b,luminance,lum_010_4_b,3684,614,0.2977741585233442,0.20358306188925082,0.5944625407166124,0.5429284253578732,0.5651042944785276
27,a,luminance,lum_004_4_a,3684,614,0.28800217155266017,0.26221498371335505,0.498371335504886,0.56395595957934,0.594326299480345
27,a,luminance,lum_006_4_a,3684,614,0.30374592833876224,0.16775244299674266,0.4804560260586319,0.5250793228582828,0.5671916858244828
27,a,luminance,lum_003_3_a,3684,614,0.28610206297502716,0.2736156351791531,0.6123778501628665,0.5773542600896862,0.585095024556908
27,b,luminance,lum_009_3_b,3684,614,0.28365906623235615,0.28827361563517917,0.511400651465798,0.5542282382448382,0.597654785452947
27,a,valence,6.0_a,12153,1677,0.2512959763021476,0.18902802623732856,0.46213476446034585,0.46395319168676935,0.46902718500649465
27,b,valence,5.0_b,12997,833,0.25267369392936834,0.10444177671068428,0.6506602641056423,0.3785014329296478,0.25932945055622325
27,a,valence,14.0_a,12632,1198,0.22965484483850537,0.39232053422370616,0.43989983305509184,0.519920505026888,0.5734130231470657
27,b,valence,1.0_b,12768,1062,0.24968671679197996,0.17231638418079095,0.5414312617702448,0.4525541319308454,0.4421939983960909
27,a,valence,12.0_a,13205,625,0.24574024990533888,0.2016,0.5168,0.5134872920444062,0.5576868021757801
27,a,valence,13.0_a,11591,2239,0.2370804934863256,0.2782492184010719,0.7065654309959803,0.5457006976781146,0.5940812580455478
27,a,valence,3.0_a,12862,968,0.24257502721194216,0.259297520661157,0.7407024793388429,0.5,0.4835608750493146
27,b,valence,11.0_b,12768,1062,0.25595238095238093,0.09698681732580038,0.7278719397363466,0.5503457282565779,0.5718638954412464
27,a,valence,2.0_a,11455,2375,0.2185945002182453,0.36505263157894735,0.4749473684210526,0.4977991274525101,0.4971532067344022
27,b,valence,10.0_b,12039,1791,0.2514328432594069,0.192071468453378,0.699609156895589,0.4839302647016281,0.49070651387795117
27,a,arousal,8.0_a,17706,791,0.21275273918445725,0.2629582806573957,0.336283185840708,0.41522215991555617,0.3980076527246339
27,b,arousal,6.0_b,16820,1677,0.22502972651605233,0.11329755515802027,0.8527131782945736,0.5313311860687361,0.534265387746434
27,b,arousal,14.0_b,17299,1198,0.2256777848430545,0.05926544240400668,0.3055091819699499,0.4263219065948486,0.33165452341377455
27,a,arousal,9.0_a,16904,1593,0.21539280643634642,0.20966729441305712,0.37225360954174513,0.5324680266155537,0.5690287415637352
27,a,arousal,5.0_a,17664,833,0.21801403985507245,0.148859543817527,0.6278511404561825,0.5052379544110287,0.4816643159379408
27,a,arousal,7.0_a,16831,1666,0.2020081991563187,0.34513805522208885,0.4447779111644658,0.49012154784202766,0.5125780098035309
27,b,arousal,13.0_b,16257,2240,0.2190441040782432,0.18482142857142858,0.4120535714285714,0.5450510870888032,0.581867655073522
27,b,arousal,12.0_b,17872,625,0.2182743957027753,0.1184,0.5392,0.6392186197086378,0.6388875263648404
27,b,arousal,3.0_b,17528,969,0.21588315837517116,0.19711042311661506,0.46852425180598556,0.5465652296800765,0.559119234444609
27,a,arousal,1.0_a,17435,1062,0.19414969888156008,0.5555555555555556,0.5423728813559322,0.5402542372881356,0.5530846021258259
27,a,arousal,10.0_a,16706,1791,0.21591045133484976,0.2054718034617532,0.5008375209380235,0.5236955375966268,0.5134838369641602
27,a,arousal,4.0_a,17882,615,0.217649032546695,0.13495934959349593,0.359349593495935,0.40599239061509196,0.442227556843917
27,b,arousal,2.0_b,16122,2375,0.21492370673613695,0.21473684210526317,0.6353684210526316,0.45299374441465595,0.46275350891026656
27,a,arousal,11.0_a,17435,1062,0.2140521938629194,0.2288135593220339,0.4378531073446328,0.4445122778456112,0.423682398991041
